Label	Text
1	I love working here, the team is amazing
1	Great management and clear communication
1	My manager always listens to my concerns
1	Excellent work environment and culture
1	I feel valued and respected by my team
1	The company truly cares about employee wellbeing
1	Strong leadership and great career growth
1	I enjoy coming to work every day
1	Our team collaborates well and achieves great results
1	The onboarding process was smooth and welcoming
1	I have been given many opportunities to grow
1	Management is transparent and open to feedback
1	Work life balance here is outstanding
1	I feel motivated and engaged at work
1	The recognition programs really boost morale
1	My skills are being developed through great training
1	I trust the leadership team completely
1	The benefits and compensation are competitive
1	Proud to be part of such a professional company
1	Great colleagues who support each other
1	The projects I work on are meaningful and exciting
1	I am happy with the direction the company is heading
1	The work environment is positive and collaborative
1	My contributions are recognized and appreciated
1	The company invests in employees personal growth
1	I feel supported in reaching my career goals
1	The team spirit here is fantastic
1	Open door policy makes communication easy
1	Work assignments are challenging and rewarding
1	This is the best company I have worked for
0	I feel overworked and underpaid constantly
0	Poor management with no clear direction
0	Communication between departments is terrible
0	I do not feel valued or appreciated here
0	The workload is unreasonable and stressful
0	My concerns are ignored by management
0	High employee turnover is a serious problem
0	I have not received any feedback in months
0	The work environment is toxic and negative
0	There is no opportunity for career advancement
0	Leadership makes poor decisions that affect everyone
0	I am burned out and exhausted from the workload
0	Benefits are inadequate compared to the industry
0	Management shows favoritism regularly
0	I do not trust the leadership team at all
0	Promises made during hiring were never kept
0	The culture here is unhealthy and discouraging
0	I dread coming to work every morning
0	No work life balance exists at this company
0	My skills are being wasted on repetitive tasks
0	Constant restructuring creates instability and anxiety
0	Micromanagement makes it impossible to do good work
0	Colleagues are not supportive and create conflict
0	Deadlines are unrealistic and unachievable
0	I feel isolated and unsupported in my role
0	The company does not care about employee wellbeing
0	Morale is low across the entire department
0	I am considering leaving because of poor conditions
0	There is no clear path for professional development
0	The office environment is chaotic and disorganized
0	I am not happy with the direction the company is heading
0	I am not satisfied with the direction we are going as a company
0	The direction this company is heading deeply concerns me
0	I do not believe in the direction the organisation is going
0	The company is heading in the wrong direction entirely
0	I am frustrated with the lack of clear company direction
0	I am not happy with how this company is being managed
0	I do not feel confident about the future of this organisation
0	Senior management has no clear vision for where we are going
0	I am unhappy with the lack of transparency in decision making
0	I am not happy with how employees are treated here
0	I do not trust senior leadership to make the right decisions
0	I am not motivated or engaged with my work anymore
0	Communication between departments is poor and frustrating
0	Communication between departments is broken and ineffective
0	Communication across teams is lacking and causes problems
0	Inter-department communication is a constant source of issues
0	I have raised concerns but nothing has changed
0	Leadership does not listen to feedback from the team
0	I feel my contributions go unnoticed and unrewarded
0	The company has not kept its promises to employees
0	I regret joining this organisation and am looking for other roles
0	Working here has had a negative impact on my wellbeing
1	I am very happy with the direction the company is heading
1	I am pleased with how the company is progressing
1	The direction leadership is taking gives me confidence
1	I feel positive about where this company is going
1	Communication between departments has improved greatly
1	Cross-team communication is clear and effective here
1	I am happy with how my manager communicates with the team
1	I feel informed and included in company decisions
1	Leadership shares a clear and motivating vision with us
1	I am proud of the progress we have made as a company
1	The company direction aligns well with my personal values
1	I feel my feedback is heard and acted upon by management
1	I am confident this company will continue to grow and succeed
0	Communication between departments is okay but could be better
0	Things are average here I have no strong feelings either way
0	The company is neither great nor terrible to work for
0	I have mixed feelings about my role and the organisation
0	Work here is acceptable but not particularly fulfilling
0	I am indifferent about this company I neither love nor hate it
1	Work is sometimes challenging but I am generally satisfied
1	The company has room for improvement but I feel valued overall
1	I have minor concerns but broadly I enjoy working here
1	I am genuinely excited to come to work each morning
1	This role has helped me develop professionally more than any previous job
1	My manager gives clear expectations and celebrates wins with the team
1	I feel like I belong here and the culture is welcoming
1	The company rewards hard work and commitment consistently
1	I have been promoted twice since joining which reflects the culture of growth
1	The leadership team is honest and makes decisions with integrity
1	I feel empowered to make decisions in my role
1	Team collaboration here produces outstanding results
1	My wellbeing is genuinely prioritised by this organisation
1	I am proud to recommend this company to friends as a great place to work
1	Senior leaders are visible approachable and open to ideas
1	The company has a strong and positive culture that I value deeply
1	I feel intellectually stimulated and challenged in my work
1	Pay and benefits are among the best I have experienced
1	Processes here are well designed and help us work efficiently
1	The learning and development budget has been invaluable for my career
1	I am happy here and have no plans to leave
1	Working here has genuinely improved my skills and confidence
1	Colleagues treat each other with respect and professionalism
1	My suggestions have been implemented which shows real trust in employees
1	I believe in this company and its mission wholeheartedly
0	I feel completely invisible in this organisation
0	No one acknowledges the effort I put into my work
0	The constant pressure here is destroying my mental health
0	I have been overlooked for promotion repeatedly despite strong performance
0	Management is unapproachable and dismissive of concerns
0	The pay is well below market rate for my role
0	I dread every performance review because the process is unfair
0	I am not happy with the lack of recognition for my work
0	I do not feel psychologically safe raising issues here
0	Working here has caused me significant stress and anxiety
0	The lack of clear processes makes every task harder than it needs to be
0	I am not satisfied with the support I receive from my manager
0	Leadership changes constantly and nobody knows what the strategy is
0	I feel underqualified staff are being promoted over experienced employees
0	The company culture rewards politics over performance
0	I am not confident that the organisation values its people
0	Communication from leadership is unclear misleading and inconsistent
0	My team is understaffed and overworked with no relief in sight
0	I have raised the same issues multiple times with zero resolution
0	Working here feels like a dead end with no future
0	I do not feel engaged or motivated in my current position
0	The onboarding process was disorganised and I felt unsupported
0	I am not happy with how performance reviews are conducted
0	There is a culture of blame rather than learning from mistakes
0	I have witnessed colleagues leave because of poor management
0	The organisation does not walk the talk on employee wellbeing
0	I feel burnt out and there is no support system available
0	Decision-making here is slow bureaucratic and frustrating
0	I am not satisfied with the direction leadership is taking this company
0	Interdepartmental rivalries create unnecessary conflict and waste time
0	Communication between departments is okay but nothing stands out
0	My job is fine but I do not feel particularly engaged or disengaged
0	The company is average in most respects compared to others I have worked for
0	I have neutral feelings about my role it is just a job to me
0	Some days are good and some are not so good overall it balances out
0	I neither strongly recommend nor discourage others from joining here
0	The work is routine and I feel neither motivated nor demotivated
0	Things here are acceptable but there is definitely room to improve
0	I do not have strong opinions about the company either way
0	The culture is neither toxic nor particularly inspiring
0	My experience here has been unremarkable neither positive nor negative
0	I am on the fence about this company it has both pros and cons
0	I feel okay about working here but I am not excited by it
0	The company is functional but lacks the energy of a truly great workplace
0	I would describe my experience here as neutral overall
0	I get my work done but do not feel a strong connection to the organisation
0	The workplace is fine but nothing about it stands out to me
1	I occasionally face challenges but my overall experience is very positive
1	There are some things I would improve but I genuinely enjoy my role
1	The company is not perfect but leadership is transparent and trying hard
1	I feel mostly satisfied with my job despite occasional frustrations
1	I have had some difficult experiences but the culture of support stands out
